"sepal.length","sepal.width","petal.length","petal.width","variety",
6.1,2.9,4.7,1.4,"Versicolor"
5,3.5,1.3,.3,"Setosa"
5.1,2.5,3,1.1,"Versicolor"
7.7,2.8,6.7,2,"Virginica"
6.2,2.9,4.3,1.3,"Versicolor"
5,2.3,3.3,1,"Versicolor"
5.4,3.7,1.5,.2,"Setosa"
6,2.9,4.5,1.5,"Versicolor"
5.5,2.4,3.8,1.1,"Versicolor"
4.8,3,1.4,.1,"Setosa"
6.3,2.7,4.9,1.8,"Virginica"
4.8,3,1.4,.3,"Setosa"
5.2,3.4,1.4,.2,"Setosa"
6.8,3.2,5.9,2.3,"Virginica"
5.6,2.7,4.2,1.3,"Versicolor"
7.7,2.6,6.9,2.3,"Virginica"
6.5,2.8,4.6,1.5,"Versicolor"
5,3.6,1.4,.2,"Setosa"
5,2,3.5,1,"Versicolor"
6.4,3.2,5.3,2.3,"Virginica"
5.1,3.5,1.4,.2,"Setosa"
5.5,2.5,4,1.3,"Versicolor"
4.6,3.4,1.4,.3,"Setosa"
